연번,의료시설구분,기관명,기관 소재지,위도,경도,전화번호,데이터기준일
638,의원,김여성의원,"충청북도 청주시 서원구 사직대로 291-6 (사직동, 김산부인과)",36.6364413,127.4799035,043-262-1101,2022-10-31
639,의원,예슬림의원,충청북도 청주시 서원구 사직대로 94 (사창동),36.6345085,127.4579304,043-268-8822,2022-10-31
640,의원,김상오비뇨기과의원,"충청북도 청주시 서원구 구룡산로 237, 2층 (수곡동)",36.6160715,127.4715463,043-286-6933,2022-10-31
641,의원,정내과의원,"충청북도 청주시 서원구 사직대로 123 (사창동, 정은빌딩)",36.6351845,127.4612821,043-262-6161,2022-10-31
642,의원,채피부과의원,"충청북도 청주시 서원구 사직대로112번길 3, 3층 (사창동)",36.6345487,127.4596443,043-271-5100,2022-10-31
643,의원,박정신건강의학과의원,"충청북도 청주시 서원구 사직대로 276 (사직동, 박정신과의원)",36.6355459,127.4780582,043-274-5946,2022-10-31
644,산후조리원,하안유산후조리원,"충청북도 청주시 서원구 신화로 50 (성화동, 4-5층)",36.6176501,127.455466,043-234-6201,2022-10-31
645,산후조리원,(주)모태안산후조리원,충청북도 청주시 서원구 복대로17번길 7-42 (개신동),36.6171597,127.4458618,043-239-0002,2022-10-31
646,산후조리원,민병열산부인과산후조리원,충청북도 청주시 서원구 사직대로 101  (사창동),36.6350934,127.4587437,043-262-8542,2022-10-31
647,안전상비의약품,씨유 청주개신주공점,"충청북도 청주시 서원구 경신로 67, 상가A동 106,107호 (개신동, 주공1단지아파트)",36.6225141,127.4484553,,2022-10-31
648,안전상비의약품,GS25 사창중앙점,충청북도 청주시 서원구 예체로129번길 29 (사창동),36.6376515,127.4670333,,2022-10-31
649,안전상비의약품,(주)코리아세븐 청주휴먼시아점,"충청북도 청주시 서원구 신성화로 8, 제상가동 104,105호 (성화동, 구룡산 휴먼시아 3단지아파트)",36.6161003,127.4600761,,2022-10-31
650,안전상비의약품,세븐일레븐 청주산남원룸점,충청북도 청주시 서원구 두꺼비로28번길 37-1 (산남동),36.6106484,127.4671845,,2022-10-31
651,안전상비의약품,씨유청주개신금원점,충청북도 청주시 서원구 복대로 13 (개신동),36.6275895,127.4678338,043-231-5227,2022-10-31
652,안전상비의약품,세븐일레븐 청주교대점,"충청북도 청주시 서원구 청남로 2074 (수곡동, 계룡투어)",36.6172945,127.4868274,043-283-7485,2022-10-31
653,안전상비의약품,GS25사창사거리,"충청북도 청주시 서원구 사직대로 109, 1층 (사창동)",36.6351511,127.4595328,,2022-10-31
654,안전상비의약품,GS25 산남주공점,"충청북도 청주시 서원구 매봉로 84, 1층 1,2호 (수곡동)",36.6176164,127.478552,,2022-10-31
655,안전상비의약품,삼식이 편의점,충청북도 청주시 서원구 신성화로 43 (성화동),36.6188267,127.4579586,043-238-3700,2022-10-31
656,안전상비의약품,GS25 청주가마점,충청북도 청주시 서원구 남이면 청남로 1827-30,36.5988709,127.4719196,,2022-10-31
657,안전상비의약품,씨유 청주사직캐슬점,"충청북도 청주시 서원구 창직로 60, 상가동 115호 (사직동, 푸르지오캐슬)",36.6305394,127.4682854,043-250-7300,2022-10-31
658,안전상비의약품,씨유 청주장암점,충청북도 청주시 서원구 가장로 399 (장암동),36.5940679,127.4868747,043-284-1388,2022-10-31
659,안전상비의약품,씨유 청주개신성은점,"충청북도 청주시 서원구 1순환로751번길 24 (개신동, 한아름주택)",36.6268516,127.4644522,043-268-5852,2022-10-31
660,안전상비의약품,CU분평원룸점,충청북도 청주시 서원구 안뜸로 56 (분평동),36.6119904,127.4817798,,2022-10-31
661,안전상비의약품,GS25 모충중앙점,충청북도 청주시 서원구 청남로2133번길 43 (모충동),36.6231861,127.4856588,,2022-10-31
662,안전상비의약품,씨유 청주분평타운점,충청북도 청주시 서원구 매봉로12번길 53 (분평동),36.6114486,127.4804235,,2022-10-31
663,안전상비의약품,GS25 모충금호점,"충청북도 청주시 서원구 모충로68번길 12, 1층 (모충동)",36.6260368,127.4706822,,2022-10-31
664,안전상비의약품,씨유남이석판점,충청북도 청주시 서원구 남이면 대림로 372,36.6038026,127.4407653,043-232-7545,2022-10-31
665,안전상비의약품,세븐일레븐 남청주IC점,충청북도 청주시 서원구 남이면 청남로 1071,36.5478408,127.4302784,043-262-0879,2022-10-31
666,안전상비의약품,GS25 청주명인점,"충청북도 청주시 서원구 1순환로1107번길 28, 105호 (분평동, 명인원플러스)",36.6076937,127.4899166,043-292-4957,2022-10-31
667,안전상비의약품,그린24시편의점 중앙점,충청북도 청주시 서원구 사직대로175번길 12 (사창동),36.6359632,127.4669622,,2022-10-31
668,안전상비의약품,미니스톱 사창드림점,충청북도 청주시 서원구 천수로 20 (사창동),36.6372789,127.4613362,,2022-10-31
669,안전상비의약품,(주)코리아세븐 청주사직중앙점,충청북도 청주시 서원구 충렬로 45 (사직동),36.6325701,127.4750711,,2022-10-31
670,안전상비의약품,(주)코리아세븐 청주산남베스트점,"충청북도 청주시 서원구 두꺼비로 36 (산남동, 동우빌딩)",36.6089029,127.4666164,,2022-10-31
671,안전상비의약품,GS25 산남행복점,충청북도 청주시 서원구 산남로24번길 18-2 (산남동),36.6122783,127.4713419,,2022-10-31
672,안전상비의약품,칸타빌다다유24시,"충청북도 청주시 서원구 예체로67번길 87, 상가동 101호 (사창동, 사창대원칸타빌아파트)",36.6325737,127.4624765,,2022-10-31
673,안전상비의약품,(주)코리아세븐 청주성화다안채점,"충청북도 청주시 서원구 구룡산로52번길 51, 상가동 102호 (성화동, 다안채6단지아파트)",36.614222,127.4507803,,2022-10-31
674,안전상비의약품,세븐일레븐청주개신한진점,"충청북도 청주시 서원구 모충로3번길 81 (개신동, 한진아파트)",36.6282518,127.4629946,,2022-10-31
675,안전상비의약품,GS25 개신우정점,충청북도 청주시 서원구 예체로1번길 20 (개신동),36.6261232,127.4678282,043-267-0607,2022-10-31
676,안전상비의약품,씨유청주개신원룸점,"충청북도 청주시 서원구 1순환로727번길 6, 1층 (개신동, 진주빌라)",36.6287669,127.4629049,043-267-2016,2022-10-31
677,안전상비의약품,GS25 성화만복점,"충청북도 청주시 서원구 장전로 81 (성화동, 파인타워)",36.6175798,127.4572328,,2022-10-31
678,안전상비의약품,GS25 충북대후문점,"충청북도 청주시 서원구 1순환로704번길 6, 1층 (사창동)",36.6308907,127.4610374,043-269-5968,2022-10-31
679,안전상비의약품,씨유(CU)편의점 충북대원룸점,충청북도 청주시 서원구 성봉로242번길 28 (개신동),36.6259506,127.451236,,2022-10-31
680,안전상비의약품,씨유 남청주IC점,충청북도 청주시 서원구 남이면 청남로 930,36.5712401,127.4491165,043-260-4759,2022-10-31
681,안전상비의약품,씨유청주수곡대로점,충청북도 청주시 서원구 남들로 1 (수곡동),36.6185317,127.4826097,043-283-5771,2022-10-31
682,안전상비의약품,그린24시편의점 (수곡점),"충청북도 청주시 서원구 수곡로 84, 101호 (수곡동)",36.6197581,127.4721103,043-285-0952,2022-10-31
683,안전상비의약품,GS25 산남계룡점,충청북도 청주시 서원구 산남로 21 (산남동),36.6103748,127.4713079,043-296-3973,2022-10-31
684,안전상비의약품,GS25개신한솔점,충청북도 청주시 서원구 모충로26번길 7 (개신동),36.6244753,127.467114,,2022-10-31
685,안전상비의약품,세븐일레븐청주제니스점,"충청북도 청주시 서원구 사운로85번길 4, 1층 (사직동)",36.6367245,127.4789343,043-265-0711,2022-10-31
686,안전상비의약품,GS25사창원룸점,충청북도 청주시 서원구 사직대로99번길 32 (사창동),36.6364376,127.4586438,,2022-10-31
687,안전상비의약품,GS25청주 에덴점,충청북도 청주시 서원구 사직대로 160 (사창동),36.6372654,127.4603455,043-234-5074,2022-10-31
688,안전상비의약품,CU편의점청주죽림점,충청북도 청주시 서원구 용호로5번길 76 (죽림동),36.6160823,127.4453653,,2022-10-31
689,안전상비의약품,GS25청주스타점,충청북도 청주시 서원구 1순환로751번길 6 (개신동),36.6266775,127.4636238,043-263-2588,2022-10-31
690,안전상비의약품,위드미 청주스마일점,충청북도 청주시 서원구 1순환로 650 (사창동),36.6355348,127.4596799,,2022-10-31
691,안전상비의약품,씨유 사창원룸점,충청북도 청주시 서원구 봉명로 132-27 (사창동),36.6387068,127.4564618,043-265-6700,2022-10-31
692,안전상비의약품,위드미사창대로점,"충청북도 청주시 서원구 1순환로 635 (사창동, (1층))",36.6369094,127.4597442,043-273-3223,2022-10-31
693,안전상비의약품,GS25충북대중문,충청북도 청주시 서원구 1순환로672번길 54 (사창동),36.6324782,127.4571776,043-275-7142,2022-10-31
694,안전상비의약품,씨유청주산남원룸점,충청북도 청주시 서원구 두꺼비로27번길 5-1 (산남동),36.6086378,127.4675885,043-286-0402,2022-10-31
695,안전상비의약품,세븐일레븐 청주흥덕사거리점,충청북도 청주시 서원구 사운로172번길 3 (사직동),36.6443809,127.4792865,043-273-0274,2022-10-31
696,안전상비의약품,GS25분평주공점,충청북도 청주시 서원구 분평로6번길 22-1 (분평동),36.6074768,127.4858011,043-283-1171,2022-10-31
697,안전상비의약품,씨유청주수곡백로점,충청북도 청주시 서원구 수곡로 35-1 (수곡동),36.6153192,127.4736375,043-285-5358,2022-10-31
698,안전상비의약품,세븐일레븐청주개신점,충청북도 청주시 서원구 성봉로169번길 47-2 (개신동),36.6191771,127.4486725,,2022-10-31
699,안전상비의약품,(주)코리아세븐 청주성화점,충청북도 청주시 서원구 신화로 38 (성화동),36.6180851,127.4555959,043-231-8031,2022-10-31
700,안전상비의약품,GS25개신사랑점,충청북도 청주시 서원구 성봉로242번길 3-26 (개신동),36.626415,127.4515338,043-264-8792,2022-10-31
701,안전상비의약품,미니스톱청주개신점,충청북도 청주시 서원구 1순환로763번길 14 (개신동),36.6257308,127.4643303,,2022-10-31
702,안전상비의약품,GS25개신주공점,"충청북도 청주시 서원구 경신로 65 (개신동, 개신주공B상가 106.107호)",36.6351,127.465,,2022-10-31
703,안전상비의약품,GS25청원현도점,충청북도 청주시 서원구 현도면 청남로 506-21,36.5005071,127.4278615,043-260-2789,2022-10-31
704,안전상비의약품,(주)보림로지스틱스죽암(상)휴게소,충청북도 청주시 서원구 현도면 죽전길 72,36.5018203,127.424129,043-260-8035,2022-10-31
705,안전상비의약품,GS25산남부영점,충청북도 청주시 서원구 원흥로 14 (산남동),36.608173,127.4729013,043-287-6999,2022-10-31
706,안전상비의약품,계룡산업(주) 죽암하휴게소,충청북도 청주시 서원구 현도면 선동1길 40-58,36.4861123,127.430031,043-269-0850,2022-10-31
707,안전상비의약품,GS25 서원대학사점,충청북도 청주시 서원구 구룡산로337번길 107 (모충동),36.622709,127.4843248,043-296-3973,2022-10-31
708,안전상비의약품,GS25청주법원점,충청북도 청주시 서원구 구룡산로 386 (수곡동),36.6180997,127.487137,043-297-3404,2022-10-31
709,안전상비의약품,씨유청주모충점,충청북도 청주시 서원구 서원남로 1 (모충동),36.6214843,127.4874802,043-291-9989,2022-10-31
710,안전상비의약품,개그스토리마트모충점,충청북도 청주시 서원구 청남로 2124 (모충동),36.6216601,127.4881163,043-287-0508,2022-10-31
711,안전상비의약품,GS25청주수곡점,충청북도 청주시 서원구 수곡로 45 (수곡동),36.6160336,127.4729697,043-286-9777,2022-10-31
712,안전상비의약품,GS25청주삼익점,충청북도 청주시 서원구 창직로12번길 42 (사창동),36.629281,127.4634944,043-266-0916,2022-10-31
713,안전상비의약품,비엔엠클럽사직점,충청북도 청주시 서원구 모충로 155 (사직동),36.6292825,127.4801965,043-263-9204,2022-10-31
714,안전상비의약품,스마일24시편의점,충청북도 청주시 서원구 구룡산로 331-2 (수곡동),36.6185403,127.4814939,043-286-3440,2022-10-31
715,안전상비의약품,GS25청원척산점,충청북도 청주시 서원구 남이면 청남로 1269,36.5628598,127.4394507,043-264-7809,2022-10-31
716,안전상비의약품,드림24,충청북도 청주시 서원구 두꺼비로94번길 4-14 (산남동),36.612202,127.4645513,043-298-5001,2022-10-31
717,안전상비의약품,GS25청주사창점,충청북도 청주시 서원구 예체로67번길 79 (사창동),36.6321802,127.4641984,043-276-6296,2022-10-31
718,안전상비의약품,GS25청주주은점,충청북도 청주시 서원구 1순환로1137번길 83 (분평동),36.6098855,127.4913979,043-283-2117,2022-10-31
719,안전상비의약품,(주)코리아세븐청주산남제일점,충청북도 청주시 서원구 두꺼비로60번길 4-2 (산남동),36.6096742,127.4647744,043-293-0711,2022-10-31
720,안전상비의약품,(주)코리아세븐청주사창점,충청북도 청주시 서원구 1순환로 686 (사창동),36.6323537,127.4607052,043-264-4711,2022-10-31
721,안전상비의약품,(주)코리아세븐청주사직점,충청북도 청주시 서원구 사직대로 264 (사직동),36.6354146,127.4767615,043-269-0816,2022-10-31
722,안전상비의약품,(주)코리아세븐청주성화주공점,충청북도 청주시 서원구 장전로 11 (성화동),36.6177005,127.4509412,043-238-3868,2022-10-31
723,안전상비의약품,(주)코리아세븐청주개신중앙점,충청북도 청주시 서원구 경신로 31-1 (개신동),36.6205856,127.4453654,043-231-6481,2022-10-31
724,안전상비의약품,(주)바이더웨이충북대월드점,충청북도 청주시 서원구 1순환로674번길 72 (사창동),36.6317741,127.4571143,043-264-0980,2022-10-31
725,안전상비의약품,(주)바이더웨이충북대중문점,충청북도 청주시 서원구 1순환로672번길 35 (사창동),36.6329666,127.4581391,043-275-6891,2022-10-31
726,안전상비의약품,(주)코리아세븐 청주분평점,"충청북도 청주시 서원구 분평로 53, 1동 101호 (분평동, 대원아파트상가)",36.6098855,127.4913979,043-291-0711,2022-10-31
727,안전상비의약품,유앤미24시편의점,충청북도 청주시 서원구 구룡산로337번길 100 (모충동),36.622315,127.4842961,043-298-6636,2022-10-31
728,안전상비의약품,GS25충북대으뜸점,충청북도 청주시 서원구 내수동로 103 (사창동),36.6339297,127.4586859,080-855-5525,2022-10-31
729,안전상비의약품,세븐일레븐 청원척산 로드점,충청북도 청주시 서원구 남이면 청남로 1316,36.5621499,127.4447165,043-273-9411,2022-10-31
730,안전상비의약품,GS25분평우성점,충청북도 청주시 서원구 청남로2005번길 73 (분평동),36.609877,127.4810813,043-295-1428,2022-10-31
731,안전상비의약품,세븐일레븐청주산남고점,충청북도 청주시 서원구 두꺼비로14번길 4 (산남동),36.6091849,127.4692033,043-293-2990,2022-10-31
732,안전상비의약품,GS25청주교대후문점,충청북도 청주시 서원구 구룡산로346번길 56-2 (수곡동),36.6162876,127.4817751,043-285-8886,2022-10-31
733,안전상비의약품,GS25청주분평점,충청북도 청주시 서원구 1순환로1107번길 95 (분평동),36.6105621,127.4894718,043-292-0918,2022-10-31
734,안전상비의약품,세븐일레븐청주분평개룡점,충청북도 청주시 서원구 매봉로 26-1 (분평동),36.6124788,127.4785945,,2022-10-31
735,안전상비의약품,GS25 현도삼거리점,충청북도 청주시 서원구 현도면 청남로 355,36.4867997,127.4234121,043-260-5115,2022-10-31
736,안전상비의약품,씨유충북대중문점,충청북도 청주시 서원구 내수동로 97 (사창동),36.6337735,127.4580273,043-275-6941,2022-10-31
737,안전상비의약품,씨유청주창신점,충청북도 청주시 서원구 내수동로 145 (사창동),36.6343374,127.4633437,043-272-2429,2022-10-31
738,안전상비의약품,씨유청주사창점,충청북도 청주시 서원구 창직로 26 (사창동),36.6307144,127.4645004,043-276-9168,2022-10-31
739,안전상비의약품,씨유청주중앙여고점,충청북도 청주시 서원구 사직대로 155 (사창동),36.6345487,127.4596443,043-262-7500,2022-10-31
740,안전상비의약품,GS25산남법원점,충청북도 청주시 서원구 산남로 60 (산남동),36.6113899,127.4675472,043-292-8887,2022-10-31
741,안전상비의약품,씨유모충조운점,충청북도 청주시 서원구 쌍샘로 93 (모충동),36.6266153,127.4735238,043-272-4959,2022-10-31
742,안전상비의약품,씨유청주서원대점,충청북도 청주시 서원구 서원남로69번길 3 (모충동),36.6222725,127.4803039,043-283-2130,2022-10-31
743,안전상비의약품,세븐일레븐서원대점,충청북도 청주시 서원구 서원남로58번길 4 (모충동),36.62245,127.4817528,043-285-7184,2022-10-31
744,안전상비의약품,코리아일레븐청주효림메디컬점,충청북도 청주시 서원구 복대로 23 (개신동),36.6192445,127.4453314,043-236-6711,2022-10-31
745,안전상비의약품,GS25청주성화점,충청북도 청주시 서원구 장전로32번길 4 (성화동),36.6166922,127.4517421,043-233-8565,2022-10-31
746,안전상비의약품,씨유청주분평점,충청북도 청주시 서원구 월평로 4 (분평동),36.6109903,127.4853005,043-298-6793,2022-10-31
747,안전상비의약품,씨유산남엔젤점,충청북도 청주시 서원구 산남로 64 (산남동),36.6113559,127.4669907,043-296-0170,2022-10-31
748,안전상비의약품,붐스토어(산남두꺼비),충청북도 청주시 서원구 원흥로64번길 1 (산남동),36.6118962,127.4695112,043-237-9988,2022-10-31
749,안전상비의약품,씨유청주성화점,충청북도 청주시 서원구 장전로20번길 54 (성화동),36.6157371,127.4521815,043-236-2055,2022-10-31
750,안전상비의약품,GS25수곡대로점,충청북도 청주시 서원구 수곡로 109 (수곡동),36.6208128,127.4703456,043-285-4802,2022-10-31
751,안전상비의약품,GS25성화중앙점,충청북도 청주시 서원구 구룡산로51번가길 2 (성화동),36.6149543,127.4522964,,2022-10-31
752,안전상비의약품,미니스톱청주모충점,충청북도 청주시 서원구 호국로3번길 3-18 (모충동),36.6278349,127.473568,043-268-2852,2022-10-31
753,안전상비의약품,GS25충북청원점,충청북도 청주시 서원구 남이외천길 50,36.5549191,127.4306912,043-262-8895,2022-10-31
754,안전상비의약품,GS25청주미소점,충청북도 청주시 서원구 천수로8번길 33 (사창동),36.6360556,127.4620525,043-216-2460,2022-10-31
755,안전상비의약품,씨유청주서원대스타점,"충청북도 청주시 서원구 남들로35번길 19, 1층 (모충동)",36.6215214,127.4833209,043-298-3693,2022-10-31
756,안전상비의약품,세븐일레븐청주모충삼호점,충청북도 청주시 서원구 쌍샘로 74 (모충동),36.6267401,127.4758541,043-263-7110,2022-10-31
757,안전상비의약품,GS25충북대사랑점,충청북도 청주시 서원구 1순환로674번길 3 (사창동),36.6331995,127.4602207,043-264-2220,2022-10-31
758,안전상비의약품,GS25청주죽림점,충청북도 청주시 서원구 성화로 81 (죽림동),36.6125193,127.445649,043-235-8661,2022-10-31
759,안전상비의약품,세븐일레븐충북대중문점,충청북도 청주시 서원구 내수동로108번길 7 (사창동),36.6333695,127.4593529,043-273-0711,2022-10-31
760,안전상비의약품,씨유충북대공원점,충청북도 청주시 서원구 1순환로680번길 13 (사창동),36.6322055,127.4600174,043-266-7862,2022-10-31
761,안전상비의약품,GS25산남점,충청북도 청주시 서원구 두꺼비로78번길 25 (산남동),36.6116632,127.4659814,043-288-2227,2022-10-31
762,안전상비의약품,씨유청주분평3단지점,충청북도 청주시 서원구 월평로 87 (분평동),36.6117636,127.4945905,043-292-4985,2022-10-31
763,안전상비의약품,씨유청주수곡교대점,충청북도 청주시 서원구 청남로 2040 (수곡동),36.6177288,127.4814049,043-287-2155,2022-10-31
764,안전상비의약품,GS25모충행복점,충청북도 청주시 서원구 구룡산로371번길 81 (모충동),36.6219199,127.4860809,043-288-7980,2022-10-31
765,안전상비의약품,위드미 산남칸타빌점,충청북도 청주시 서원구 탑골로37번길 1 (산남동),36.60985,127.4761361,,2022-10-31
766,약국,푸른약국,"충청북도 청주시 서원구 산남로 4, 푸른타워 1층 102호 (산남동)",36.6124974,127.4731961,,2022-10-31
767,약국,돌담약국,"충청북도 청주시 서원구 청남로 2014, 103호 (분평동)",36.61194,127.4854786,043-297-6501,2022-10-31
768,약국,청안약국,"충청북도 청주시 서원구 사직대로 88, 1층 (사창동)",36.6343643,127.4571487,043-263-7500,2022-10-31
769,약국,새남들약국,충청북도 청주시 서원구 청남로 2140 (모충동),36.6231513,127.4886833,043-288-3687,2022-10-31
770,약국,흥덕약국,충청북도 청주시 서원구 흥덕로 70 (사직동),36.6416228,127.4726366,043-262-7907,2022-10-31
771,약국,세계로약국,"충청북도 청주시 서원구 모충로 18, 1층 3호 (개신동)",36.6247373,127.4660522,043-265-7582,2022-10-31
772,약국,더블루체어약국,"충청북도 청주시 서원구 2순환로 1618, A동 101호 (미평동)",36.6009452,127.4773912,043-292-4369,2022-10-31
773,약국,늘봄약국,"충청북도 청주시 서원구 사직대로 248, 1층 (사직동)",36.6351727,127.4750355,,2022-10-31
774,약국,하트약국,"충청북도 청주시 서원구 사직대로 160, 두진 하트리움에덴 1층 118호 (사창동)",36.6345974,127.4650539,043-266-0113,2022-10-31
775,약국,마르첼로약국,충청북도 청주시 서원구 성화로 104 (성화동),36.6113305,127.4479331,043-224-4528,2022-10-31
776,약국,더 행복한 약국,"충청북도 청주시 서원구 사직대로 108, 하나로상호저축은행 (사창동)",36.6345485,127.459206,043-276-1000,2022-10-31
777,약국,산남조은약국,"충청북도 청주시 서원구 산남로 18, 올리브타워 (산남동)",36.6118542,127.4718928,043-288-2278,2022-10-31
778,약국,상록약국,충청북도 청주시 서원구 호국로123번길 42 (사직동),36.6388405,127.4735904,043-265-7769,2022-10-31
779,약국,산남열린약국,"충청북도 청주시 서원구 산남로70번길 3, 산남메디프라자 107호 (산남동)",36.611309,127.4659783,043-286-7895,2022-10-31
780,약국,청주상록약국,충청북도 청주시 서원구 흥덕로 36 (사직동),36.6387015,127.4737479,043-272-7768,2022-10-31
781,약국,새열린약국,충청북도 청주시 서원구 장전로6번길 34 (성화동),36.6165424,127.4478099,043-234-1024,2022-10-31
782,약국,청주상당약국,충청북도 청주시 서원구 사직대로 132 (사창동),36.6371196,127.4580083,043-275-7431,2022-10-31
783,약국,강남약국,"충청북도 청주시 서원구 사직대로 128, 해인빌딩 (사창동)",36.6347269,127.4615921,043-274-5132,2022-10-31
784,약국,수곡우리약국,"충청북도 청주시 서원구 구룡산로 246, 2층 (수곡동)",36.6161876,127.4725315,043-288-5626,2022-10-31
785,약국,메디팜다정약국,충청북도 청주시 서원구 서부로 1346 (성화동),36.6120685,127.4519722,043-263-6060,2022-10-31
786,약국,메디컬다정약국,충청북도 청주시 서원구 사직대로 95 (사창동),36.6350417,127.4580721,043-262-0915,2022-10-31
787,약국,유향약국,충청북도 청주시 서원구 모충로25번길 3 (개신동),36.6251069,127.4664734,043-274-2598,2022-10-31
788,약국,사랑약국,"충청북도 청주시 서원구 사직대로 101 (사창동, 민병열산부인과)",36.6351157,127.458727,043-276-9101,2022-10-31
789,약국,산남프라자약국,"충청북도 청주시 서원구 수곡로 55 (수곡동, 혜화당한의원)",36.6166869,127.4723926,043-293-9734,2022-10-31
790,약국,은성약국,충청북도 청주시 서원구 사직대로 275 (사직동),36.6360723,127.4779614,043-262-0909,2022-10-31
791,약국,봄약국,"충청북도 청주시 서원구 신화로 33 (성화동, 111호~112호)",36.6175448,127.4553046,043-237-2300,2022-10-31
792,약국,비타민약국,"충청북도 청주시 서원구 산남로 48 (산남동, 대운프라자 101호)",36.6115918,127.4685975,043-283-1197,2022-10-31
793,약국,해맑은약국,충청북도 청주시 서원구 서부로1465번길 6 (개신동),36.621671,127.4599534,043-271-0122,2022-10-31
794,약국,진성약국,"충청북도 청주시 서원구 월평로 7, 105호 약국 (분평동)",36.611317,127.4858338,043-273-1551,2022-10-31
795,약국,대창약국,"충청북도 청주시 서원구 사직대로 147, 1층 (사창동)",36.6353023,127.4565148,043-267-2485,2022-10-31
796,약국,신세계약국,충청북도 청주시 서원구 1순환로1107번길 39 (분평동),36.6080897,127.4893741,043-292-5523,2022-10-31
797,약국,청명약국,"충청북도 청주시 서원구 서부로1465번길 6, 가동 (개신동)",36.621671,127.4599534,043-260-8835,2022-10-31
798,약국,봄빛약국,"충청북도 청주시 서원구 복대로 5, 1층 (개신동)",36.6293228,127.4419954,043-284-0888,2022-10-31
799,약국,지혜약국,충청북도 청주시 서원구 서원남로 24 (모충동),36.6222486,127.4851843,043-284-2881,2022-10-31
800,약국,수곡동약국,충청북도 청주시 서원구 구룡산로 317 (수곡동),36.618654,127.4796597,043-287-3975,2022-10-31
801,약국,대학약국,충청북도 청주시 서원구 서부로 1510 (개신동),36.6245028,127.4583395,043-271-3031,2022-10-31
802,약국,수곡제일약국,충청북도 청주시 서원구 수영로 4 (수곡동),36.6147542,127.486447,043-288-8750,2022-10-31
803,약국,성화열린약국,충청북도 청주시 서원구 서부로 1350 (성화동),36.6174604,127.4483079,043-233-8207,2022-10-31
804,약국,분평 우리들약국,충청북도 청주시 서원구  1순환로  1037 (분평동),36.6130967,127.4746341,043-288-3008,2022-10-31
805,약국,햇살약국,충청북도 청주시 서원구 신화로 50 (성화동),36.6168595,127.4475855,043-232-1960,2022-10-31
806,약국,새롬약국,충청북도 청주시 서원구 사직대로 99 (사창동),36.6350591,127.4583179,043-273-6996,2022-10-31
807,약국,시민약국,충청북도 청주시 서원구 남이면 척산길 5,36.5599593,127.4338291,043-233-4401,2022-10-31
808,약국,사직피보약국,충청북도 청주시 서원구 사운로 137 (사직동),36.6305965,127.4714113,043-274-9734,2022-10-31
809,약국,참가까운약국,충청북도 청주시 서원구 모충로104번길 5 (모충동),36.6280388,127.4748413,043-274-8045,2022-10-31
810,약국,보명약국,충청북도 청주시 서원구 분평로 36 (분평동),36.6083274,127.4893256,043-293-5757,2022-10-31
811,약국,세종약국,"충청북도 청주시 서원구 서부로1465번길 6-1, 1층 (개신동)",36.621671,127.4599534,043-263-1058,2022-10-31
812,약국,대유약국,충청북도 청주시 서원구 청남로 2147 (모충동),36.6237862,127.4881514,043-298-7373,2022-10-31
813,약국,다사랑약국,"충청북도 청주시 서원구 모충로 91, 102호 (모충동, 크리스탈빌딩)",36.6277341,127.473202,043-271-5753,2022-10-31
814,약국,나음약국,"충청북도 청주시 서원구 장전로6번길 32, 103호 (성화동, 삼성연합빌딩)",36.6169595,127.4475781,043-234-3410,2022-10-31
815,약국,건강하나로약국,충청북도 청주시 서원구 사직대로 90 (사창동),36.6344335,127.4574926,043-273-3070,2022-10-31
816,약국,하나로약국,충청북도 청주시 서원구 모충로 1 (개신동),36.6249303,127.4640619,043-272-3635,2022-10-31
817,약국,재미슨약국,충청북도 청주시 서원구 사직대로 115 (사창동),36.6351776,127.460397,043-275-3355,2022-10-31
818,약국,분평푸른약국,"충청북도 청주시 서원구 1순환로1107번길 42 (분평동, 대상테마빌딩)",36.6082663,127.4899922,043-262-6277,2022-10-31
819,약국,옵티마 안민약국,충청북도 청주시 서원구 구룡산로 235 (수곡동),36.6159876,127.4713356,043-288-5858,2022-10-31
820,약국,정문약국,충청북도 청주시 서원구 1순환로 771 (개신동),36.6245028,127.4583395,043-277-8333,2022-10-31
821,약국,명품캐슬약국,"충청북도 청주시 서원구 예체로 55, 112호 (사직동, 상가)",36.631113,127.4684,043-906-4010,2022-10-31
822,약국,서울약국,충청북도 청주시 서원구 사직대로 279-1 (사직동),36.6361043,127.4782732,043-262-8215,2022-10-31
823,약국,해솔약국,충청북도 청주시 서원구 산남로 38 (산남동),36.6115362,127.4698311,,2022-10-31
824,약국,성화우리약국,"충청북도 청주시 서원구 신화로 34, 101호 (성화동, 성화빌딩)",36.6180055,127.4550308,043-234-9486,2022-10-31
825,약국,백제약국,충청북도 청주시 서원구 청남로 2114 (모충동),36.6207884,127.488055,043-283-8212,2022-10-31
826,약국,뿌리약국,"충청북도 청주시 서원구 산남로 56, 102,103호 (산남동, 에버프라자)",36.6114048,127.4678523,043-298-9848,2022-10-31
827,약국,예인약국,"충청북도 청주시 서원구 산남로 85, 104호 (산남동, 원흥빌딩)",36.6107626,127.4646998,043-296-1032,2022-10-31
828,약국,모아약국,"충청북도 청주시 서원구 복대로17번길 57, 1층 (개신동)",36.616833,127.4451833,043-233-7733,2022-10-31
829,약국,우리약국,"충청북도 청주시 서원구 1순환로1137번길 102, 1층 (분평동)",36.6108372,127.4933266,043-298-1002,2022-10-31
830,약국,한별약국,"충청북도 청주시 서원구 구룡산로 386, 1층 (수곡동)",36.6180997,127.487137,043-284-7706,2022-10-31
